,ground_truth,baseline,baseline_s42,baseline_s985,filt_freq_distro,filt_freq_distro_s42,filt_freq_distro_s985,filt_gen_sent,filt_gen_sent_s42,filt_gen_sent_s985,filt_tgt_ppl,filt_tgt_ppl_s42,filt_tgt_ppl_s985
378,0,2,1,0,2,3,2,2,2,1,2,2,1
379,4,3,2,3,2,1,1,1,2,1,1,2,1
380,1,1,1,1,4,2,5,0,0,0,2,1,1
381,1,0,1,1,2,1,2,2,0,2,2,2,2
382,1,0,0,0,0,0,0,1,0,1,0,0,0
383,1,4,4,4,4,4,5,3,2,3,4,0,4
384,3,4,4,4,3,3,4,3,2,3,4,0,4
385,2,0,0,0,2,1,2,0,0,1,0,1,1
386,2,0,0,0,1,1,1,2,1,1,2,2,2
387,1,4,1,3,3,2,3,5,2,2,2,1,2
388,0,0,0,0,0,0,0,0,0,0,1,1,0
389,2,0,0,0,2,4,5,2,2,2,1,1,2
390,5,2,0,2,6,4,5,2,2,2,2,2,2
391,0,1,0,0,2,3,3,3,0,1,1,3,1
392,0,0,1,0,0,3,1,1,1,1,3,3,1
393,1,1,0,1,1,2,2,2,3,5,1,1,1
394,1,0,0,0,1,3,2,1,1,2,3,2,3
395,4,0,0,0,5,4,4,0,2,1,2,2,3
396,2,1,1,1,3,3,1,2,3,2,1,0,1
397,5,1,3,1,3,3,3,4,1,1,5,3,3
398,2,0,1,0,0,1,0,1,1,1,1,0,1
399,3,0,3,3,1,2,5,2,2,2,1,3,1
400,1,0,0,0,4,2,0,2,2,2,1,2,1
401,2,0,0,3,4,2,3,2,2,2,1,1,1
402,0,0,0,0,1,1,1,1,1,2,1,2,0
403,1,1,1,1,1,2,2,2,2,2,1,1,1
404,6,3,3,6,5,4,3,4,4,2,5,4,3
405,0,0,0,0,4,3,1,2,3,1,3,3,3
406,2,2,4,2,1,4,3,2,3,2,3,3,3
407,2,1,1,1,2,1,2,2,1,1,2,1,2
408,4,2,4,3,2,2,3,2,2,2,4,2,2
409,3,0,0,1,1,1,1,1,1,0,1,2,1
410,1,1,1,1,1,1,1,1,1,1,2,2,2
411,2,0,0,0,1,1,1,4,1,1,1,1,1
412,3,1,1,1,1,0,2,1,2,3,0,1,0
413,0,4,3,3,4,3,4,4,4,1,3,4,4
414,0,0,0,0,0,0,0,1,1,1,0,1,0
415,4,0,0,2,1,2,1,1,3,2,3,1,2
416,4,1,2,1,2,2,1,2,1,1,1,1,2
417,5,0,0,2,2,1,1,1,2,2,4,1,1
418,1,2,3,2,0,2,2,2,2,2,1,3,0
419,2,0,0,0,2,2,2,0,3,1,1,1,1
420,2,3,3,6,1,1,5,3,4,3,2,2,2
421,2,0,0,1,3,1,1,1,2,1,1,1,1
422,5,2,0,3,4,3,3,3,3,4,3,3,3
423,1,0,3,3,1,1,1,1,1,1,2,1,0
424,1,1,0,1,1,1,1,3,2,2,0,0,0
425,2,0,0,0,2,1,2,0,0,0,1,2,1
426,2,0,0,0,4,4,5,5,1,3,4,2,0
427,3,3,2,2,4,6,4,4,4,1,2,3,3
428,1,1,1,2,5,3,4,3,1,1,2,2,2
429,1,0,0,0,2,4,2,3,4,2,2,2,1
430,3,2,1,1,3,0,3,2,2,1,2,1,2
431,2,1,1,2,6,5,6,2,2,2,3,3,3
432,0,0,0,2,4,3,3,1,4,3,6,6,5
433,2,0,0,0,1,2,1,1,1,1,1,1,1
434,3,2,1,2,2,2,2,3,2,2,3,2,3
435,6,2,2,2,2,3,2,1,0,0,1,2,2
436,3,2,3,2,5,2,2,1,0,2,0,0,2
437,7,2,2,2,3,2,3,3,2,3,2,3,2
438,2,0,0,0,4,2,3,2,1,1,5,6,4
439,0,0,0,0,2,1,0,1,1,0,0,0,0
440,1,2,1,2,1,2,1,2,2,2,2,1,1
441,2,0,0,0,1,2,2,3,1,3,0,0,2
442,2,0,0,0,2,2,2,3,2,2,3,3,3
443,0,0,0,0,1,2,0,2,2,1,1,1,1
444,0,0,0,0,2,2,1,1,1,1,1,1,1
445,4,0,0,0,0,2,2,3,1,3,1,2,1
446,3,2,2,2,3,5,2,4,5,4,2,2,3
447,1,0,0,0,2,3,2,2,3,2,1,1,1
448,4,2,5,3,3,3,3,3,3,3,3,3,3
449,2,4,4,4,4,5,4,4,3,4,0,0,0
450,0,0,0,0,0,1,1,1,1,1,0,0,1
451,4,1,1,1,2,2,2,2,2,1,2,2,2
452,2,2,1,1,4,1,1,2,1,3,1,1,1
453,1,0,0,0,0,0,0,2,1,2,0,2,0
454,0,2,1,0,2,0,2,2,3,2,3,2,2
455,1,1,1,2,2,2,2,1,2,2,2,1,1
456,1,2,2,2,2,3,2,1,4,3,4,1,1
457,1,0,0,0,0,2,1,2,2,2,0,0,1
458,0,0,0,0,1,2,2,2,2,2,1,2,1
459,5,5,5,4,4,0,3,3,2,2,0,0,0
460,3,0,0,0,2,0,0,1,1,1,3,1,2
461,2,1,3,1,4,2,5,4,3,3,2,0,1
462,3,4,3,3,2,2,3,2,3,2,1,2,1
463,1,0,0,1,1,1,1,1,1,1,1,1,2
464,2,0,0,0,2,2,2,2,2,3,1,1,1
465,2,0,0,0,2,2,2,3,2,2,0,2,1
466,2,0,1,2,2,0,2,2,2,2,1,3,3
467,2,2,1,1,3,3,3,4,4,4,4,4,4
468,2,0,1,1,5,3,0,1,1,1,1,3,3
469,1,0,0,0,3,2,1,4,2,2,2,1,1
470,4,0,3,1,2,4,4,4,4,4,3,2,2
471,1,3,3,3,3,2,3,2,1,1,1,3,1
